trial,drop_rate,label,pred,correct
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_i/trial_089,0.13043478260869565,8,8,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_i/trial_109,0.13636363636363635,8,8,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_f/trial_106,0.15,5,5,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_c/trial_073,0.0,2,2,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_q/trial_050,0.0,16,16,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_h/trial_097,0.05,7,7,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_k/trial_026,0.038461538461538464,10,10,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_g/trial_027,0.043478260869565216,6,6,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_z/trial_131,0.15789473684210525,25,25,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_b/trial_009,0.045454545454545456,1,1,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_e/trial_135,0.0,4,4,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_j/trial_089,0.13043478260869565,9,9,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_i/trial_099,0.07692307692307693,8,8,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_n/trial_048,0.15,13,13,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_k/trial_041,0.041666666666666664,10,6,False
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_n/trial_064,0.05555555555555555,13,13,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_w/trial_117,0.047619047619047616,22,22,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_x/trial_073,0.05,23,23,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_w/trial_070,0.25,22,22,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_v/trial_082,0.06666666666666667,21,20,False
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_u/trial_142,0.11764705882352941,20,20,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_u/trial_062,0.0625,20,21,False
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_o/trial_128,0.07692307692307693,14,14,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_l/trial_011,0.0,11,11,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_v/trial_080,0.07692307692307693,21,21,True
/Users/changhyeonpark/Desktop/UCLA_Visiting/watchtouch/UnifiedDataCollector/run/dataset/Lower_g/trial_016,0.08695652173913043,6,5,False
